Date,yhat,yhat_lower,yhat_upper
2023-01-12,7897.58238841058,7602.201863719406,8182.22735808742
2023-01-22,7349.775992157204,7045.074151020006,7656.660584589096
2023-01-23,7386.385641571102,7084.040956224029,7679.143765457467
2023-01-24,7457.405021954112,7137.101559006986,7744.327807008856
2023-01-25,7497.970554324756,7201.3457129396475,7806.622710854394
2023-01-29,7395.379242778102,7129.03563018278,7688.965148186525
2023-01-30,7460.429361128884,7164.151345792264,7734.645129613205
2023-01-31,7556.718477369618,7234.493466346521,7843.300962078098
2023-02-01,7619.292554181237,7296.154838220419,7881.468615060566
2023-02-02,7636.397164496222,7335.004137752956,7915.984355060886
2023-02-05,7572.6862740295755,7288.073769627422,7881.7052946096155
2023-02-06,7644.388930008048,7344.976787704556,7952.688275503096
2023-02-07,7744.835667711372,7450.981157810918,8044.491772489589
2023-02-08,7809.359449051614,7524.652701876266,8087.849709924997
2023-02-09,7826.516427346099,7545.055241814169,8132.906121070397
2023-02-12,7754.846032408616,7471.9390098013355,8055.769078177711
2023-02-13,7822.270455941213,7540.994007011847,8105.636129379392
2023-02-14,7918.133092288629,7639.065210021697,8185.166128593028
2023-02-15,7978.0351202443535,7700.557479961314,8271.601857336404
2023-02-16,7990.768296174752,7698.2531641749765,8291.478610926786
2023-02-20,7974.139498276339,7673.405491335103,8263.916440436999
2023-02-21,8068.6890853122795,7773.360490983897,8355.48904706864
2023-02-22,8128.018383089148,7847.731308685092,8434.358116834459
2023-02-23,8140.859002055262,7829.68711612763,8426.58471812017
2023-02-26,8062.144922386475,7787.815557652867,8367.519633337151
2023-02-27,8129.043642692641,7818.926017851336,8417.012952852972
2023-02-28,8225.055157403118,7921.983340211053,8539.613102020472
2023-03-01,8285.55486905085,7983.949798078369,8565.01142365654
2023-03-02,8299.064845186022,8008.953932073034,8573.25245106028
2023-03-07,8372.344467181263,8084.0043729816225,8660.79440477765
2023-03-08,8426.718175338734,8133.381469592387,8711.595689143973
2023-03-09,8432.550018052401,8122.780565788843,8719.485182161738
2023-03-13,8368.057123474357,8031.234153195463,8667.793437784692
2023-03-14,8444.174561587455,8130.852979730207,8749.144807782992
2023-03-15,8482.073155266255,8193.521848401948,8775.174328221168
2023-03-16,8470.375755996954,8188.476027943769,8759.550597808093
2023-03-19,8299.31531471427,8019.063739890038,8592.193454937098
2023-03-20,8329.508605634272,8009.935565130019,8625.713645379203
2023-03-21,8386.18915361334,8088.621878066333,8687.811616521314
2023-03-22,8405.035149669133,8122.611216220226,8721.298799853417
2023-03-23,8374.933055859481,8099.328327112705,8690.689732745492
2023-03-26,8155.063023842269,7849.555670828625,8456.837369350627
2023-03-27,8171.890564250393,7878.568920736555,8467.926251844237
2023-03-28,8216.994000280103,7933.236467521757,8503.022982479073
2023-03-29,8226.21802500943,7944.9427222425375,8542.399043180796
2023-03-30,8188.58854770994,7898.829645487704,8515.494869238366
2023-04-02,7959.660130553517,7671.782096099138,8246.995278261053
2023-04-03,7978.143068631418,7683.385671618111,8292.410568030644
2023-04-04,8027.246427382264,7736.498106036606,8314.168472551146
2023-04-05,8042.77436654571,7746.4818972627445,8358.865731940828
2023-04-06,8013.683862688567,7733.147999152924,8296.221501610804
2023-04-09,7822.701000852396,7513.241069645772,8132.9648626767175
2023-04-10,7857.464161846429,7555.288520262431,8140.569045118538
2023-04-11,7924.373658166618,7605.51948279022,8213.670028927863
2023-04-12,7959.033983590622,7644.469745443752,8249.749165531557
2023-04-13,7950.188707616245,7669.900937237997,8243.856309077433
2023-04-16,7824.329788558734,7520.788979890339,8105.052173433769
2023-04-17,7881.466096839434,7592.031309105381,8171.308430766163
2023-04-18,7970.673471408035,7662.822440365545,8269.593870982282
2023-04-19,8027.3110850186595,7743.568806926914,8319.239870657382
2023-04-20,8039.879905609952,7773.698633902044,8334.06456610697
2023-04-23,7972.544333232257,7674.35282274915,8275.974973655566
2023-04-24,8046.545770250328,7770.581182108032,8330.469397387415
2023-04-25,8150.957886430852,7858.662789456154,8457.659844193464
2023-04-26,8220.95821342929,7924.3139362119855,8539.232877552115
2023-04-27,8244.883450062762,7922.044034467059,8540.54255967997
2023-04-30,8198.23847518364,7909.92176768219,8501.888851137257
2023-05-01,8274.34398523482,7974.196422937866,8551.82293595546
2023-05-02,8378.360078014894,8065.907255235341,8674.948356012539
2023-05-03,8445.443040323367,8148.856146495509,8739.065227804744
2023-05-04,8463.937417485475,8149.495940831252,8729.405541094651
2023-05-07,8386.450910311543,8098.037183274071,8672.574679659063
2023-05-08,8447.757325941737,8170.409754333473,8747.405022712808
2023-05-09,8534.956858765045,8251.644702213362,8820.792091574638
2023-05-10,8583.395083174306,8310.632890477915,8905.335488353645
